node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,7.15,7.15,,,,,1
B2,operation,normal,normal,7.8,7.8,,,,,1
B3,operation,normal,normal,8.45,8.45,,,,,1
B4,operation,normal,normal,9.1,9.1,,,,,1
B5,operation,normal,normal,9.75,9.75,,,,,1
B6,operation,normal,normal,10.4,10.4,,,,,1
B7,operation,normal,normal,11.05,11.05,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
r4,robot,,,,,,micro,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
s3,station,,,,,2,,,2,
