node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,6.2,6.2,,,,,1
B2,operation,normal,normal,6.85,6.85,,,,,1
B3,operation,normal,normal,7.5,7.5,,,,,1
B4,operation,normal,normal,8.15,8.15,,,,,1
B5,operation,normal,normal,8.8,8.8,,,,,1
B6,operation,normal,normal,9.45,9.45,,,,,1
B7,operation,normal,normal,10.1,10.1,,,,,1
B8,operation,normal,normal,10.75,10.75,,,,,1
B9,operation,normal,normal,11.4,11.4,,,,,1
B10,operation,normal,normal,12.05,12.05,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
