node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,4.35,4.35,,,,,1
B2,operation,normal,normal,5.0,5.0,,,,,1
B3,operation,normal,normal,5.65,5.65,,,,,1
B4,operation,normal,normal,6.3,6.3,,,,,1
B5,operation,normal,normal,6.95,6.95,,,,,1
B6,operation,normal,normal,7.6,7.6,,,,,1
B7,operation,normal,normal,8.25,8.25,,,,,1
B8,operation,normal,normal,8.9,8.9,,,,,1
B9,operation,normal,normal,9.55,9.55,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
