node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,5.7,5.7,,,,,1
B2,operation,normal,normal,6.35,6.35,,,,,1
B3,operation,normal,normal,7.0,7.0,,,,,1
B4,operation,normal,normal,7.65,7.65,,,,,1
B5,operation,normal,normal,8.3,8.3,,,,,1
B6,operation,normal,normal,8.95,8.95,,,,,1
B7,operation,normal,normal,9.6,9.6,,,,,1
B8,operation,normal,normal,10.25,10.25,,,,,1
B9,operation,normal,normal,10.9,10.9,,,,,1
B10,operation,normal,normal,11.55,11.55,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
