node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,4.8,4.8,,,,,1
B2,operation,normal,normal,5.45,5.45,,,,,1
B3,operation,normal,normal,6.1,6.1,,,,,1
B4,operation,normal,normal,6.75,6.75,,,,,1
B5,operation,normal,normal,7.4,7.4,,,,,1
B6,operation,normal,normal,8.05,8.05,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
