node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
A5,subassembly,normal,normal,,,,,,,
A6,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,6.15,6.15,,,,,1
B2,operation,normal,normal,6.8,6.8,,,,,1
B3,operation,normal,normal,7.45,7.45,,,,,1
B4,operation,normal,normal,8.1,8.1,,,,,1
B5,operation,normal,normal,8.75,8.75,,,,,1
B6,operation,normal,normal,9.4,9.4,,,,,1
B7,operation,normal,normal,10.05,10.05,,,,,1
B8,operation,normal,normal,10.7,10.7,,,,,1
B9,operation,normal,normal,11.35,11.35,,,,,1
B10,operation,normal,normal,12.0,12.0,,,,,1
B11,operation,normal,normal,12.65,12.65,,,,,1
B12,operation,normal,normal,13.3,13.3,,,,,1
B13,operation,normal,normal,13.95,13.95,,,,,1
B14,operation,normal,normal,14.6,14.6,,,,,1
B15,operation,normal,normal,15.25,15.25,,,,,1
B16,operation,normal,normal,15.9,15.9,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
r4,robot,,,,,,micro,1,,
r5,robot,,,,,,thermal,1,,
r6,robot,,,,,,vision,1,,
r7,robot,,,,,,torque,1,,
s1,station,,,,,3,,,3,
s2,station,,,,,3,,,3,
s3,station,,,,,3,,,3,
