node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,5.35,5.35,,,,,1
B2,operation,normal,normal,6.0,6.0,,,,,1
B3,operation,normal,normal,6.65,6.65,,,,,1
B4,operation,normal,normal,7.3,7.3,,,,,1
B5,operation,normal,normal,7.95,7.95,,,,,1
B6,operation,normal,normal,8.6,8.6,,,,,1
B7,operation,normal,normal,9.25,9.25,,,,,1
B8,operation,normal,normal,9.9,9.9,,,,,1
B9,operation,normal,normal,10.55,10.55,,,,,1
B10,operation,normal,normal,11.2,11.2,,,,,1
B11,operation,normal,normal,11.85,11.85,,,,,1
B12,operation,normal,normal,12.5,12.5,,,,,1
B13,operation,normal,normal,13.15,13.15,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
r4,robot,,,,,,micro,1,,
r5,robot,,,,,,thermal,1,,
s1,station,,,,,3,,,3,
s2,station,,,,,3,,,3,
s3,station,,,,,3,,,3,
s4,station,,,,,3,,,3,
