src_id,dst_id,edge_type,active,weight
P0,B1,and_produce,1,1.0
P0,B2,and_produce,1,1.0
P0,B3,and_produce,1,1.0
P0,B4,and_produce,1,1.0
P0,B5,and_produce,1,1.0
A1,B6,or_choice,1,0.5
A1,B7,or_choice,1,0.5
A2,B8,or_choice,1,0.5
A2,B9,or_choice,1,0.5
A3,B10,or_choice,1,0.5
A3,B11,or_choice,1,0.5
A4,B12,or_choice,1,0.5
A4,B13,or_choice,1,0.5
A5,B14,or_choice,1,0.5
A5,B15,or_choice,1,0.5
A6,B16,or_choice,1,0.5
A6,B17,or_choice,1,0.5
B1,B2,precede,1,1.0
B2,B3,precede,1,1.0
B3,B4,precede,1,1.0
B4,B5,precede,1,1.0
B5,B6,precede,1,1.0
B5,B7,precede,1,1.0
B5,B8,precede,1,1.0
B5,B9,precede,1,1.0
B1,B8,precede,1,1.0
B1,B9,precede,1,1.0
B5,B10,precede,1,1.0
B5,B11,precede,1,1.0
B5,B12,precede,1,1.0
B5,B13,precede,1,1.0
B1,B12,precede,1,1.0
B1,B13,precede,1,1.0
B5,B14,precede,1,1.0
B5,B15,precede,1,1.0
B5,B16,precede,1,1.0
B5,B17,precede,1,1.0
B1,B16,precede,1,1.0
B1,B17,precede,1,1.0
B1,r1,capable_of,1,1.0
B1,r2,capable_of,1,1.0
B1,r3,capable_of,1,1.0
B1,r4,capable_of,1,1.0
B1,r5,capable_of,1,1.0
B1,r6,capable_of,1,1.0
B1,r7,capable_of,1,1.0
B2,r1,capable_of,1,1.0
B2,r2,capable_of,1,1.0
B2,r3,capable_of,1,1.0
B2,r4,capable_of,1,1.0
B2,r5,capable_of,1,1.0
B2,r6,capable_of,1,1.0
B2,r7,capable_of,1,1.0
B3,r1,capable_of,1,1.0
B3,r2,capable_of,1,1.0
B3,r3,capable_of,1,1.0
B3,r4,capable_of,1,1.0
B3,r5,capable_of,1,1.0
B3,r6,capable_of,1,1.0
B3,r7,capable_of,1,1.0
B4,r1,capable_of,1,1.0
B4,r2,capable_of,1,1.0
B4,r3,capable_of,1,1.0
B4,r4,capable_of,1,1.0
B4,r5,capable_of,1,1.0
B4,r6,capable_of,1,1.0
B4,r7,capable_of,1,1.0
B5,r1,capable_of,1,1.0
B5,r2,capable_of,1,1.0
B5,r3,capable_of,1,1.0
B5,r4,capable_of,1,1.0
