node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
A5,subassembly,normal,normal,,,,,,,
A6,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,6.25,6.25,,,,,1
B2,operation,normal,normal,6.9,6.9,,,,,1
B3,operation,normal,normal,7.55,7.55,,,,,1
B4,operation,normal,normal,8.2,8.2,,,,,1
B5,operation,normal,normal,8.85,8.85,,,,,1
B6,operation,normal,normal,9.5,9.5,,,,,1
B7,operation,normal,normal,10.15,10.15,,,,,1
B8,operation,normal,normal,10.8,10.8,,,,,1
B9,operation,normal,normal,11.45,11.45,,,,,1
B10,operation,normal,normal,12.1,12.1,,,,,1
B11,operation,normal,normal,12.75,12.75,,,,,1
B12,operation,normal,normal,13.4,13.4,,,,,1
B13,operation,normal,normal,14.05,14.05,,,,,1
B14,operation,normal,normal,14.7,14.7,,,,,1
B15,operation,normal,normal,15.35,15.35,,,,,1
B16,operation,normal,normal,16.0,16.0,,,,,1
B17,operation,normal,normal,16.65,16.65,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
r4,robot,,,,,,micro,1,,
r5,robot,,,,,,thermal,1,,
r6,robot,,,,,,vision,1,,
r7,robot,,,,,,torque,1,,
s1,station,,,,,3,,,3,
s2,station,,,,,3,,,3,
s3,station,,,,,3,,,3,
s4,station,,,,,3,,,3,
