node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,6.7,6.7,,,,,1
B2,operation,normal,normal,7.35,7.35,,,,,1
B3,operation,normal,normal,8.0,8.0,,,,,1
B4,operation,normal,normal,8.65,8.65,,,,,1
B5,operation,normal,normal,9.3,9.3,,,,,1
B6,operation,normal,normal,9.95,9.95,,,,,1
B7,operation,normal,normal,10.6,10.6,,,,,1
B8,operation,normal,normal,11.25,11.25,,,,,1
B9,operation,normal,normal,11.9,11.9,,,,,1
B10,operation,normal,normal,12.55,12.55,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
